Product,old_price,new_price,discount,sale_date
"Суп СЕМЕЙНЫЕ СЕКРЕТЫ, Грибной/Гороховый, 60г",23.00,16.99,−26%,с 13 апреля до 19 апреля
"Суп СЕМЕЙНЫЕ СЕКРЕТЫ, Грибной/Гороховый, 60г",23.00,16.99,−26%,с 13 апреля до 19 апреля
"Батончик ФИТНЕСС злаковый шоколад-банан, 23,5г",44.40,19.99,−55%,с 13 апреля до 19 апреля
"Вода питьевая BILLAGI® негазированная, 500мл",34.90,21.99,−37%,с 13 апреля до 19 апреля
"Пергамент АКАДЕМИЯ КОМФОРТА не силиконовый, 29смx8м",31.99,21.99,"−31,00%",с 07 апреля до 04 мая
"Напиток кисломолочный АКТИМЕЛЬ, Гранат, 100г",32.80,22.99,−30%,с 13 апреля до 19 апреля
"Актимель Клубника, 100г",32.80,22.99,−30%,с 13 апреля до 19 апреля
"Напиток кисломолочный АКТИМЕЛЬ Клубника, 100г",32.80,22.99,−30%,с 13 апреля до 19 апреля
"Напиток кисломолочный АКТИМЕЛЬ, Гранат, 100г",32.80,22.99,−30%,с 13 апреля до 19 апреля
"Печенье ЮБИЛЕЙНОЕ, Молочное, витаминное, 112г",35.80,23.99,−33%,с 13 апреля до 19 апреля
"Печенье ЮБИЛЕЙНОЕ, витаминизированное традиционное, 112г",35.80,23.99,−33%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе утки в соусе, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек соус де-люкс теленок, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек соус де-люкс лосось, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе курицы в соусу, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе кролика в соусе, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе лосось в соусу, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек соус де-люкс курица, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек соус де-люкс говядина, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе лосося в соусе, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек соус де-люкс курица, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе курицы в соусе, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе ягненка в соусе, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе говядина в соусу, 75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Перл GOURMET Корм для кошек филе индейки в соусе,75г",35.10,25.99,−26%,с 13 апреля до 19 апреля
"Каша БЫСТРОВ с молоком черника/клубника, 40г",37.00,26.99,−27%,с 13 апреля до 19 апреля
"Приправа ВОСТОЧНЫЙ ГОСТЬ, Хмели-сунели, 40г",35.10,26.99,−23%,с 13 апреля до 19 апреля
"Приправа ВОСТОЧНЫЙ ГОСТЬ, Хмели-сунели, 40г",35.10,26.99,−23%,с 13 апреля до 19 апреля
"Корм для активных собак PURINA® ONE Мини утка-паста-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для взрослых собак PURINA® ONE Мини курица-морковь-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для взрослых собак PURINA® ONE Мини говядина-картофель-горох, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для активных собак PURINA® ONE Мини говядина-картофель-морковь, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для активных собак PURINA® ONE Мини утка-паста-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Корм для собак PURINA® ONE Контроль веса Мини индейка-морковь-горох, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Сок ДОБРЫЙ, Яблочный осветленный, 200мл",36.10,29.99,−17%,с 13 апреля до 19 апреля
"Корм для активных собак PURINA® ONE Мини говядина-картофель-морковь, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Сок ДОБРЫЙ, Яблоко-персик, 200мл",36.10,29.99,−17%,с 13 апреля до 19 апреля
"Корм для взрослых собак PURINA® ONE Мини говядина-картофель-горох, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Сок ДОБРЫЙ, Яблоко-вишня, 200мл",36.10,29.99,−17%,с 13 апреля до 19 апреля
"Корм для взрослых собак PURINA® ONE Мини курица-морковь-фасоль, 85г",34.10,29.99,−12%,с 13 апреля до 19 апреля
"Активиа БЗМЖ Биойогурт лен/черный/5злаков 2,9%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
"Активиа БЗМЖ Биойогурт вишня 2,9%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
"Батончики РОТ ФРОНТ, цена за 100 г",50.00,32.99,−34%,с 13 апреля до 19 апреля
"Батончики РОТ ФРОНТ, 1кг",63.40,32.99,−48%,с 13 апреля до 19 апреля
"Активиа БЗМЖ Биойогурт чернослив 2,9%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
"Активиа БЗМЖ Биойогурт натуральный 3,5%, 130г",45.20,32.99,−27%,с 13 апреля до 19 апреля
"Активиа БЗМЖ Биойогурт натуральный 3,5%, 130г",45.00,35.99,−20%,с 13 апреля до 19 апреля
"Активиа БЗМЖ Биойогурт лен/черн/5злаков 2,9%,  130г",45.00,35.99,−20%,с 13 апреля до 19 апреля
"Батончик НЕСТЛЕ ФИТНЕС, злаки с клубникой, 23,5г",47.00,39.99,−15%,с 13 апреля до 19 апреля
"Батончик НЕСТЛЕ ФИТНЕС, цельные злаки с шоколадом, 23,5г",50.00,39.99,−20%,с 13 апреля до 19 апреля
"Батончик НЕСТЛЕ ФИТНЕС, злаки с клубникой, 23,5г",50.00,39.99,−20%,с 13 апреля до 19 апреля
"Чай зеленый ЗЕЛЕНЫЙ ДРАКОН мелисса 20пак, 30г",47.70,41.99,−12%,с 13 апреля до 19 апреля
"Шоколад АЛЬПЕН ГОЛЬД, молочный, 90г",82.70,42.99,−48%,с 13 апреля до 19 апреля
"Шоколад ALPEN GOLD молочный, 85г",84.30,42.99,−49%,с 13 апреля до 19 апреля
"Чистящее средство ПЕМОЛЮКС Антибактериальный, 480г",79.30,45.99,−42%,с 13 апреля до 19 апреля
"Крекер ТУК, с сыром, 100г",74.60,46.99,−37%,с 13 апреля до 19 апреля
"Крекер ТУК, оригинальный, 100г",77.00,46.99,−39%,с 13 апреля до 19 апреля
"Крекер ТУК, со вкусом краба, 100г",77.00,46.99,−39%,с 13 апреля до 19 апреля
"Вода минеральная ЛЕГЕНДА ГОР АРХЫЗ, газированная, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Вода питьевая ЛЕГЕНДА ГОР АРХЫЗ, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Крекер ТУК, со сметаной и луком, 100г",77.00,46.99,−39%,с 13 апреля до 19 апреля
"Крекер ТУК, копченые колбаски, 100г",77.00,46.99,−39%,с 13 апреля до 19 апреля
"Крекер ТУК, со вкусом пиццы, 100г",77.00,46.99,−39%,с 13 апреля до 19 апреля
"Крекер ТУК, со вкусом пиццы, 100г",74.60,46.99,−37%,с 13 апреля до 19 апреля
"Крекер ТУК, с сыром, 100г",77.00,46.99,−39%,с 13 апреля до 19 апреля
"Крекер ТУК, со вкусом краба, 100г",74.60,46.99,−37%,с 13 апреля до 19 апреля
"Вода минеральная ЛЕГЕНДА ГОР АРХЫЗ, газированная, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Крекер ТУК, оригинальный, 100г",74.60,46.99,−37%,с 13 апреля до 19 апреля
"Крекер ТУК, со сметаной и луком, 100г",74.60,46.99,−37%,с 13 апреля до 19 апреля
"Крекер ТУК, копченые колбаски, 100г",74.60,46.99,−37%,с 13 апреля до 19 апреля
"Вода питьевая ЛЕГЕНДА ГОР АРХЫЗ, природная, 1,5л",62.70,46.99,−25%,с 13 апреля до 19 апреля
"Шоколад РОССИЯ, Молочный пористый, 82г",92.60,49.99,−46%,с 13 апреля до 19 апреля
"Шоколад молочный РОССИЯ, Миндаль/изюм, 90г",89.30,49.99,−44%,с 13 апреля до 19 апреля
"Шоколад молочный РОССИЯ, Карамель/арахис, 90г",89.30,49.99,−44%,с 13 апреля до 19 апреля
"Шоколад молочный РОССИЯ, 90г",89.30,49.99,−44%,с 13 апреля до 19 апреля
"Шоколад молочный РОССИЯ, Миндаль/вафля, 90г",89.30,49.99,−44%,с 13 апреля до 19 апреля
"Шоколад молочный РОССИЯ, Фундук/изюм, 90г",89.30,49.99,−44%,с 13 апреля до 19 апреля
"Шоколад РОССИЯ, с кокосом/вафлей, 90г",89.30,49.99,−44%,с 13 апреля до 19 апреля
"Печенье сдобное ПАЛЬЧИКИ ОБЛИЖЕШЬ, 200г",72.40,49.99,−31%,с 13 апреля до 19 апреля
"Сухарики ХРУСТИM, Багет, Сырное ассорти, 60г",61.70,49.99,−19%,с 13 апреля до 19 апреля
"Сухарики ХРУСТИM, Багет воздушный, Королевский краб, 60г",61.70,49.99,−19%,с 13 апреля до 19 апреля
"Багет ХРУСТИМ с шампиньонами в сливочном соусе, 60г",61.70,49.99,−19%,с 13 апреля до 19 апреля
"Пиво BUD Light, светлое, 4,1%, 0,44л",67.60,49.99,−26%,с 13 апреля до 19 апреля
"Пиво БАД Лайт светлое пастеризованное 4,1%, 0,45л",67.60,49.99,−26%,с 13 апреля до 19 апреля
"Сухарики ХРУСТИM, Багет, Томат-зелень, 60г",61.70,49.99,−19%,с 13 апреля до 19 апреля
"Пиво BUD 66, светлое, 4,3%, 0,44л",84.10,52.99,−37%,с 13 апреля до 19 апреля
